From,To,Weight
2761387314,2095046630,1
2763196775,2761387314,1
2761387314,2338557950,1
2761387314,2023099723,1
2763196775,2095046630,1
2338557950,2095046630,1
2095046630,2023099723,1
2763196775,2338557950,1
2763196775,2023099723,1
2338557950,2023099723,1
2769313573,2112446181,1
2769313573,894397536,1
2769313573,2141765346,1
2112446181,894397536,4
2141765346,2112446181,1
2141765346,894397536,1
3012241600,2952831337,2
2952831337,2809526537,1
2952831337,2583129933,2
2952831337,2809786316,3
3012241600,2809526537,2
3012241600,2583129933,5
3012241600,2809786316,3
2809526537,2583129933,2
2809786316,2809526537,1
2809786316,2583129933,4
2172111964,1907618455,1
2172111964,2100232616,1
2343634714,2172111964,2
2503631310,2172111964,1
2172111964,1892278452,1
2100232616,1907618455,1
2343634714,1907618455,1
2503631310,1907618455,1
1907618455,1892278452,1
2343634714,2100232616,1
2503631310,2100232616,1
2100232616,1892278452,1
2503631310,2343634714,1
2343634714,1892278452,1
2503631310,1892278452,1
2100972793,2102499480,1
2089226819,2102499480,1
2089226819,2100972793,1
2172111964,1241591944,2
2580865218,2172111964,1
2786815554,2172111964,1
2788023088,2172111964,1
2580865218,1241591944,1
2786815554,1241591944,1
2788023088,1241591944,1
2786815554,2580865218,1
2788023088,2580865218,1
2788023088,2786815554,1
2306357247,1278212206,1
2179165163,1278212206,1
1278212206,338122050,4
1278212206,717094813,2
2108356532,1278212206,4
2306357247,2179165163,1
2306357247,338122050,1
2306357247,717094813,1
2306357247,2108356532,1
2179165163,338122050,1
2179165163,717094813,1
2179165163,2108356532,1
717094813,338122050,2
2108356532,338122050,6
2108356532,717094813,3
2784558238,2086629893,3
2792551744,2784558238,4
2792551744,2086629893,3
1973759261,2089561866,1
400098097,2089561866,1
400098097,1973759261,1
2778392746,2107114342,1
2785742305,2778392746,1
2778392746,2345658951,1
2785742305,2107114342,1
2345658951,2107114342,1
2785742305,2345658951,1
2344093690,2109578860,1
2344093690,2342978815,1
2344093690,2089226819,1
2664203702,2344093690,1
2342978815,2109578860,1
2109578860,2089226819,1
2664203702,2109578860,1
2342978815,2089226819,1
2664203702,2342978815,1
2664203702,2089226819,1
2818364464,2189552081,1
2818364464,2610235978,1
2818364464,1241591944,1
2818364464,2599079560,1
2610235978,2189552081,2
2189552081,1241591944,2
2599079560,2189552081,1
2610235978,1241591944,3
2610235978,2599079560,1
2599079560,1241591944,1
2792551744,2170997046,2
2792551744,2421977467,3
2792551744,2668289692,1
2792551744,2616879311,1
2792551744,2665156238,1
2988414863,2792551744,1
2784558238,2170997046,2
2784558238,2421977467,2
2784558238,2668289692,1
2784558238,2616879311,1
2784558238,2665156238,1
2988414863,2784558238,1
2170997046,2086629893,3
2421977467,2086629893,2
2668289692,2086629893,1
2616879311,2086629893,1
2665156238,2086629893,1
2988414863,2086629893,1
2421977467,2170997046,2
2668289692,2170997046,1
2616879311,2170997046,1
2665156238,2170997046,1
2988414863,2170997046,1
2668289692,2421977467,1
2616879311,2421977467,1
2665156238,2421977467,1
2988414863,2421977467,1
2668289692,2616879311,1
2668289692,2665156238,1
2988414863,2668289692,1
2665156238,2616879311,1
2988414863,2616879311,1
2988414863,2665156238,1
2492202723,1084143855,1
2689002473,2492202723,1
2785648382,2492202723,1
2492202723,2120191350,1
2492202723,19799136,1
2689002473,1084143855,1
2785648382,1084143855,1
2120191350,1084143855,1
1084143855,19799136,5
2785648382,2689002473,1
2689002473,2120191350,1
2689002473,19799136,1
2785648382,2120191350,1
2785648382,19799136,1
2120191350,19799136,1
2478811158,48968166,2
2207597073,48968166,1
2478811158,2207597073,1
2240987127,2035454147,1
2314161962,2035454147,1
2314161962,2240987127,1
2644010912,2033165701,2
2644010912,2631241208,1
2644010912,2628092878,1
2680921591,2644010912,1
2644010912,2179214099,2
2631241208,2033165701,1
2628092878,2033165701,1
2680921591,2033165701,1
2179214099,2033165701,2
