,0
2761387314,46
2095046630,46
2763196775,46
2338557950,46
2023099723,46
2769313573,1
2112446181,1
894397536,1
2141765346,1
3012241600,2
2952831337,2
2809526537,2
2583129933,2
2809786316,2
2172111964,4
1907618455,4
2100232616,4
2343634714,4
2503631310,4
1892278452,4
2100972793,66
2102499480,66
2089226819,66
1241591944,4
2580865218,4
2786815554,4
2788023088,4
2306357247,12
1278212206,12
2179165163,12
338122050,12
717094813,12
2108356532,12
2784558238,7
2086629893,7
2792551744,7
1973759261,64
2089561866,64
400098097,64
2778392746,9
2107114342,9
2785742305,9
2345658951,9
2344093690,66
2109578860,66
2342978815,66
2664203702,66
2818364464,4
2189552081,4
2610235978,4
2599079560,4
2170997046,7
2421977467,7
2668289692,7
2616879311,7
2665156238,7
2988414863,7
2492202723,10
1084143855,10
2689002473,10
2785648382,10
2120191350,10
19799136,10
2478811158,46
48968166,46
2207597073,46
2240987127,11
2035454147,11
2314161962,11
2644010912,58
2033165701,58
2631241208,58
2628092878,58
2680921591,58
2179214099,58
2695583709,13
2615182208,13
2613236932,13
2571793150,13
2604059347,58
1403916017,14
2242627565,14
2776641282,4
176504491,4
2425207129,4
2599132810,15
2430694892,15
1900454661,15
2437300035,15
2554555728,15
2494885756,16
2179440995,16
2235495746,16
2114083216,16
2785535244,17
2396129309,17
1923028801,17
2799468463,17
3024961896,18
3024893552,18
2344512650,18
2311321429,18
2689894051,4
2166905163,4
2947036114,19
2494259305,19
2601885535,19
2337426334,52
2593709459,52
2112373723,52
1237838178,21
2682564347,21
2435837239,2
263453382,2
2057885976,22
2126947776,22
2918752812,23
2120377782,23
2618430611,23
2121414946,23
2718006628,24
2616293509,24
2011716222,24
2572185780,25
2749490257,25
2171567633,25
2159853329,25
2158111715,25
2699375816,25
1990828975,25
2553089894,27
2171588153,27
2584870594,27
2745532934,28
314401047,28
2540500776,29
1897711806,29
2302810988,27
2150812176,27
2282477290,27
2246450106,4
2553166010,4
1972996546,4
2200163667,4
2996904145,4
2465079072,58
2415471752,58
2564504444,58
2329253597,58
2893276593,30
625863904,30
437376054,19
2549006929,19
2636978777,66
2150244354,66
2690429845,66
2251850206,22
2657331418,31
2172198057,31
2505371666,25
2428638725,25
1680731733,4
2556886944,23
2274562262,23
2115794654,23
2669300864,4
2589693766,4
2556947291,4
2221456739,33
2130843882,33
1995346925,33
2709784431,33
2150264159,33
572884078,33
2814163382,24
1569449108,24
2130478153,24
2787274368,28
2192679898,28
1394461259,25
2148755231,25
1268099863,25
2311182631,25
2062630223,25
2645144716,22
733212765,22
2114500421,37
2082776978,37
2335709018,37
2123677036,36
1931521731,36
2273938869,36
963192850,36
2585051537,36
2644094834,37
2152452213,37
2138708328,37
2508493695,37
2028644223,16
2309898822,46
2132206945,46
2682333228,46
1472543948,46
2421714932,46
2510245737,46
2435729937,46
2253586755,46
3025733925,46
2672999981,38
2251328605,38
2506920492,38
1985332971,38
2414124084,38
2115794088,24
2691316187,27
2069664504,27
2601433099,39
2102405188,27
2801342485,23
2102226479,23
2156348552,23
2672875906,23
2954098189,23
2796887735,2
2245226205,2
2923321085,2
2178136015,4
2140530078,4
2606874275,58
2212776008,58
2663234679,58
2871837425,12
2059216707,12
522006732,12
1986393079,12
1707482612,12
2894080795,25
2222599283,25
2790112495,25
2430230888,25
2744893457,13
2586007512,13
1991690685,13
2772170569,41
1990770041,41
2646322244,41
2763969848,41
2146074147,2
2324031801,10
1749094758,10
2617744099,14
2590056321,14
2695606779,14
2630759696,14
701765907,14
2004053281,14
1167627009,14
2787066970,13
2683440262,13
3014467276,17
2761578285,17
2394545734,42
2672289275,42
2125287306,2
2118239819,2
2120466059,2
2098050749,28
2116996923,28
2441098608,13
2103558654,13
2127728738,13
2725024828,13
2105168322,2
205238041,2
2628642819,2
2595821844,2
2170222687,2
2516441277,10
2109145227,10
2152322787,10
1903705225,10
2581822976,43
2173375723,43
2715735575,43
2801412755,41
2664603921,41
2510154511,41
2601345745,27
711331909,27
2547087102,27
2738577835,27
2465744786,27
3037436469,27
2662164917,27
2614108134,27
2998618672,37
2155432522,37
2473370095,37
2111588886,37
2314669109,37
2421531779,21
613547560,21
2189779294,21
2330967721,45
2108883516,45
2644075152,45
3037315023,45
2228875950,64
1687669298,64
2241751670,64
1942464127,46
3024629983,46
2095869832,4
2316746638,4
2764460116,14
2463180381,14
2765059440,14
2094537730,34
2319867906,34
2644518414,48
2012775402,48
2568663348,48
2154585466,48
2016105447,48
2622293574,48
2644533136,66
2123634686,66
2113003292,66
676783168,66
2065469516,66
2294534155,4
2031541791,4
2123556472,4
2299591030,4
2004384997,4
2787064192,58
2571633976,58
2246631901,38
581165881,27
2059449611,27
2096772260,18
2461380065,18
2720194144,24
2699961332,24
2527619589,24
2129486635,19
1974593854,19
2124267471,19
2654166581,19
2431841966,16
2147025700,16
2163307476,16
